,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
12592535,30.438,168.53,40.973,6.259,177.46,0.12597,0.25064,0.58912,0.13698,0.0016512,83.304,8.3587,3.4723,45.824,380.57,20.849,0.34584,51.543,1594,23.275,30.926,-0.82842,0.49847,0.87469,4.2756,33.134,238.85,1.4525,0,15.116,15.781,3.8829,48.175,796.37,C1
14594686,23.085,426.36,23.539,7.9179,85.923,0.12146,0.3398,0.45097,0.010231,0.006101,69.091,13.889,4.1752,19.6,282.36,29.61,0.39992,33.334,1448.8,24.43,43.464,-0.83863,0.44745,0.96076,8.2714,94.278,504.5,1.5972,0,13.748,16.066,3.9107,48.848,429.36,C1
15955482,25.412,173.32,69.563,6.2336,338.23,0.14688,0.21696,0.6645,0.093103,0.012475,49.326,19.174,1.3262,440.27,669.71,42.002,0.37097,823.92,400.16,9.5334,0.48568,-0.2477,0.88777,0.20088,4.8226,1.2582,17.3,2.7641,0,6.3463,84.149,1.7305,37.29,796.37,C3
7891310,0.42137,99.965,31.424,3.162,157.97,0.23808,0.3668,0.60242,0.04914,0.00082858,60.051,34.235,3.1518,530.41,585.28,29.722,0.37802,500.12,756.91,5.9981,1.5135,-0.6163,0.77121,0.17631,5.0721,2.7319,24,1.9102,136.4,11.341,52.735,4.5171,37.721,429.36,C3
15119550,12.027,482.25,32.556,8.4254,19.981,0.1555,0.35405,0.43859,0.0067385,0.0067511,70.655,5.3342,3.3703,5.263,573.91,7.5276,0.32973,5.7658,1968.2,26.203,341.35,-0.058833,0.40367,1.16,4.9923,455.54,1896.5,1.5,0,15.072,12.681,5.7718,48.602,610.55,C1
16484823,27.483,241.92,70.201,8.6235,308.16,0.10194,0.3574,0.61623,0.1298,0.010496,47.455,33.689,5.3827,81.782,218.76,34.332,0.34714,59.714,1058.7,22.942,17.729,-0.51052,0.49781,0.65397,5.5743,37.045,237.9,1.4769,0.033333,13.103,17.583,2.7216,46.273,429.36,C1
15864417,24.398,235.03,6.9106,6.0136,43.405,0.1124,0.28107,0.54315,0.063919,0.0074304,24.042,19.81,0.64666,27.736,533.49,31.839,0.3129,230.81,1962,33.232,8.5007,-0.67447,0.40554,1.0609,9.5989,14.498,224.35,1.8316,0,13.411,17.042,4.5279,53.631,796.37,C2
12217807,18.124,482.93,48.868,9.165,373.08,0.1127,0.27865,0.5512,0.042634,0.0094334,13.718,33.636,1.007,283.31,205.37,24.457,0.3095,532.49,429.61,4.743,0.8068,0.52214,0.69694,0.22887,3.1017,1.3221,21,3.3136,184.4,12.8,74.149,1.4709,36.339,352.14,C2
9421955,17.762,479.31,70.716,8.2619,211.89,0.15866,0.29813,0.46029,0.12042,0.011474,64.783,38.12,2.3067,334.23,562.3,10.461,0.31598,468.61,594,13.286,1.2676,-0.63417,0.74512,0.71327,6.6617,4.3606,118,2.1493,2.7333,13.898,30.322,1.4412,40.287,796.37,C2
16433568,27.483,241.92,70.201,8.6235,308.16,0.10194,0.3574,0.61623,0.1298,0.010496,47.455,33.689,5.3827,81.782,218.76,34.332,0.34714,865.88,495.1,13.966,0.5718,-0.45,0.76345,0.20698,5.8682,1.5436,22,2.7956,15.7,9.4503,70.982,3.261,39.256,352.14,C3
10538531,11.601,412.67,72.894,5.4617,251.24,0.15746,0.21016,0.43933,0.019169,0.0064053,93.406,39.942,1.4925,479.44,401.41,2.2653,0.32415,885.88,427.48,12.224,0.48255,0.72257,0.88868,0.15748,5.0587,1.1599,16.15,2.6801,25,7.8816,87.817,2.6285,38.352,796.37,C4
2945928,0.59088,83.556,10.085,3.441,147.63,0.20874,0.28978,0.60755,0.1353,0.0047523,31.115,22.944,1.1548,640.55,284.33,32.529,0.3311,626.92,514.34,15.053,0.82042,-0.12528,0.86166,0.19056,5.1418,2.0581,28,2.4242,24,10.501,64.04,2.5052,38.865,531.92,C3
1935388,0.77008,114.43,61.551,2.761,25.952,0.2017,0.31105,0.41946,0.015638,0.0052256,20.74,25.952,1.5308,11.134,292.19,30.017,0.35205,14.359,1373.5,26.854,95.655,-0.26558,0.46155,1.266,9.2253,259.88,795.6,1.5,0,13.543,15.646,3.4416,49.496,796.37,C1
